0xdf0,Flag 1 - 8,Flag 9 - 16,Flag 17 - 24,Flag 25 - 32,Flag 33 - 40,Flag 41 - 48,Flag 49 - 56,Flag 57 - 63,Character Pointer,Face Pointer,Asset Pointer,Character Name Pointer,Character Description Pointer,Attack Stance Pointer,Defense Stance Pointer,Character ID,Support Route,Army ID,Replace this Character ID from GameData,Parent,Class 1,Class 2,Support ID,Level,Internal level,Enemy/Ally Flag,##UNKNOWN##,Base HP,Base Strength,Base Magic,Base Skill,Base Speed,Base Luck,Base Defense,Base Resistance,HP Growth,Strength Growth,Magic Growth,Skill Growth,Speed Growth,Luck Growth,Defense Growth,Resistance Growth,HP Modifier,Strength Modifier,Magic Modifer,Skill Modifier,Speed Modifier,Luck Modifier,Defense Modifier,Resistance Modifier,##UNKNOWN##,Sword/Katana Rank,Lance/Naginata Rank,Axe/Club Rank,Shuriken/Dagger Rank,Bow/Yumi Rank,Tome/Scroll Rank,Staff/Rod Rank,Stone Rank,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill Flags 1 - 8,Skill Flags 9 - 16,Personal Skill (Birthright),Personal Skill (Conquest),Personal Skill (Revelation),Day of birth,Month of birth,Reclass option 1,Reclass Option 2,Parent ID,Child ID,Support Index (parent - child and sibling support),Level Cap / 10,Amiibo,Combat Music Pointer,Enemy Voice Pointer,Amiibo weapon 1,Amiibo weapon 2,##UNKNOWN##
Captured General,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26a0a,0x2c2a6,0x0,0x0,0x2c254,0xa538,0xa628,0x59,0x0,0x0,0x0,0x0,0xf,0xd,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,45,40,0,30,15,15,35,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Berserker,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26a20,0x2c2b5,0x0,0x0,0x2c254,0xa538,0xa628,0x5a,0x0,0x0,0x0,0x0,0x11,0x13,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,50,45,0,35,30,10,10,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Fighter,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26a38,0x2c2c6,0x0,0x0,0x2c254,0xa538,0xa628,0x5b,0x0,0x0,0x0,0x0,0x13,0x11,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,45,40,0,30,25,10,15,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Hero,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26a54,0x2c2db,0x0,0x0,0x2c254,0xa538,0xa628,0x5c,0x0,0x0,0x0,0x0,0x15,0x17,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,40,35,0,40,40,5,20,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Mercenary,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26a70,0x2c2f0,0x0,0x0,0x2c254,0xa538,0xa628,0x5d,0x0,0x0,0x0,0x0,0x17,0x15,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,30,0,35,30,15,20,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Bow Knight,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26a88,0x2c301,0x0,0x0,0x2c254,0xa538,0xa628,0x5e,0x0,0x0,0x0,0x0,0x19,0x17,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,30,30,0,35,35,15,25,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Outlaw,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26a9e,0x2c310,0x0,0x0,0x2c254,0xa538,0xa628,0x5f,0x0,0x0,0x0,0x0,0x1b,0x1d,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,30,25,15,20,35,15,20,15,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Adventurer,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26ab0,0x2c31b,0x0,0x0,0x2c254,0xa538,0xa628,0x60,0x0,0x0,0x0,0x0,0x1d,0x1b,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,30,20,20,30,20,20,15,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Swordmaster,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26acc,0x2c330,0x0,0x0,0x2c254,0xa538,0xa628,0x61,0x0,0x0,0x0,0x0,0x1f,0x21,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,30,40,0,45,40,10,15,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Samurai,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26adc,0x2c339,0x0,0x0,0x2c254,0xa538,0xa628,0x62,0x0,0x0,0x0,0x0,0x21,0x1f,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,30,35,0,40,35,10,15,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Master of Arms,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26aea,0x2c340,0x0,0x0,0x2c254,0xa538,0xa628,0x63,0x0,0x0,0x0,0x0,0x23,0x21,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,40,0,40,35,10,20,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Oni Chieftain,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26afc,0x2c34b,0x0,0x0,0x2c254,0xa538,0xa628,0x64,0x0,0x0,0x0,0x0,0x25,0x27,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,40,45,10,25,25,10,30,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Oni Savage,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26b0c,0x2c354,0x0,0x0,0x2c254,0xa538,0xa628,0x65,0x0,0x0,0x0,0x0,0x27,0x25,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,40,0,25,20,10,30,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Blacksmith,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26b1c,0x2c35d,0x0,0x0,0x2c254,0xa538,0xa628,0x66,0x0,0x0,0x0,0x0,0x29,0x27,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,40,40,0,35,20,10,30,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Spear Master,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26b2c,0x2c366,0x0,0x0,0x2c254,0xa538,0xa628,0x67,0x0,0x0,0x0,0x0,0x2b,0x2d,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,45,0,45,30,10,15,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Spear Fighter,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26b3c,0x2c36f,0x0,0x0,0x2c254,0xa538,0xa628,0x68,0x0,0x0,0x0,0x0,0x2d,0x2b,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,40,0,40,30,10,10,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Basara,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26b4e,0x2c37a,0x0,0x0,0x2c254,0xa538,0xa628,0x69,0x0,0x0,0x0,0x0,0x2f,0x2d,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,35,25,40,30,10,15,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Diviner,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26b60,0x2c385,0x0,0x0,0x2c254,0xa538,0xa628,0x6a,0x0,0x0,0x0,0x0,0x31,0x33,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,25,10,35,35,25,15,10,20,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Onmyoji,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26b72,0x2c390,0x0,0x0,0x2c254,0xa538,0xa628,0x6b,0x0,0x0,0x0,0x0,0x33,0x31,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,25,0,40,40,25,20,10,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Shrine Maiden,0x1,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26b84,0x2c39b,0x0,0x0,0x2c254,0xa538,0xa628,0x6c,0x0,0x0,0x0,0x0,0x36,0x38,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,20,10,40,25,25,20,10,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Great Master,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26b94,0x2c3a4,0x0,0x0,0x2c254,0xa538,0xa628,0x6d,0x0,0x0,0x0,0x0,0x37,0x35,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,25,15,35,30,20,15,15,20,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Priestess,0x1,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26ba4,0x2c3ad,0x0,0x0,0x2c254,0xa538,0xa628,0x6e,0x0,0x0,0x0,0x0,0x38,0x36,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,20,10,40,25,25,20,10,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Falcon Knight,0x1,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26bb6,0x2c3b8,0x0,0x0,0x2c254,0xa538,0xa628,0x6f,0x0,0x0,0x0,0x0,0x3a,0x3c,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,25,30,20,35,35,15,20,15,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Sky Knight,0x1,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26bcc,0x2c3c7,0x0,0x0,0x2c254,0xa538,0xa628,0x70,0x0,0x0,0x0,0x0,0x3c,0x3a,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,25,25,10,35,35,15,15,15,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Kinshi Knight,0x1,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26be0,0x2c3d4,0x0,0x0,0x2c254,0xa538,0xa628,0x71,0x0,0x0,0x0,0x0,0x3e,0x3c,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,30,25,10,40,35,15,20,15,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Archer,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26bf4,0x2c3e1,0x0,0x0,0x2c254,0xa538,0xa628,0x72,0x0,0x0,0x0,0x0,0x3f,0x41,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,30,0,35,30,10,20,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Sniper,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26c06,0x2c3ec,0x0,0x0,0x2c254,0xa538,0xa628,0x73,0x0,0x0,0x0,0x0,0x41,0x3f,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,35,0,40,35,10,20,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Wyvern Lord,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26c16,0x2c3f5,0x0,0x0,0x2c254,0xa538,0xa628,0x74,0x0,0x0,0x0,0x0,0x43,0x45,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,40,45,0,35,25,10,25,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Wyvern Rider,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26c32,0x2c40a,0x0,0x0,0x2c254,0xa538,0xa628,0x75,0x0,0x0,0x0,0x0,0x45,0x43,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,35,0,35,25,10,25,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Malig Knight,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26c4c,0x2c41d,0x0,0x0,0x2c254,0xa538,0xa628,0x76,0x0,0x0,0x0,0x0,0x47,0x45,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,35,15,35,25,10,20,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Master Ninja,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26c68,0x2c432,0x0,0x0,0x2c254,0xa538,0xa628,0x77,0x0,0x0,0x0,0x0,0x49,0x4b,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,25,30,0,40,45,15,15,15,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Ninja,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26c78,0x2c43b,0x0,0x0,0x2c254,0xa538,0xa628,0x78,0x0,0x0,0x0,0x0,0x4b,0x49,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,25,25,0,40,40,15,15,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Mechanist,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26c86,0x2c442,0x0,0x0,0x2c254,0xa538,0xa628,0x79,0x0,0x0,0x0,0x0,0x4d,0x4b,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,25,0,40,40,15,20,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Apothecary,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26c98,0x2c44d,0x0,0x0,0x2c254,0xa538,0xa628,0x7a,0x0,0x0,0x0,0x0,0x4f,0x51,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,40,25,0,35,25,15,20,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Merchant,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26caa,0x2c458,0x0,0x0,0x2c254,0xa538,0xa628,0x7b,0x0,0x0,0x0,0x0,0x51,0x4f,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,45,30,0,35,25,20,20,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Sorcerer,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26cbc,0x2c463,0x0,0x0,0x2c254,0xa538,0xa628,0x7c,0x0,0x0,0x0,0x0,0x53,0x55,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,0,35,40,25,15,15,20,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Dark Mage,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26cd2,0x2c472,0x0,0x0,0x2c254,0xa538,0xa628,0x7d,0x0,0x0,0x0,0x0,0x55,0x53,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,30,10,30,35,25,10,15,15,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Dark Knight,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26cea,0x2c483,0x0,0x0,0x2c254,0xa538,0xa628,0x7e,0x0,0x0,0x0,0x0,0x57,0x55,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,20,30,35,25,10,20,15,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Strategist,0x1,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26d02,0x2c494,0x0,0x0,0x2c254,0xa538,0xa628,0x7f,0x0,0x0,0x0,0x0,0x5a,0x5c,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,30,10,35,25,25,20,20,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Troubadour,0x1,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26d1c,0x2c4a7,0x0,0x0,0x2c254,0xa538,0xa628,0x80,0x0,0x0,0x0,0x0,0x5c,0x5a,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,25,10,35,20,25,20,15,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Maid,0x1,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26d34,0x2c4b8,0x0,0x0,0x2c254,0xa538,0xa628,0x81,0x0,0x0,0x0,0x0,0x5e,0x5c,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,30,20,25,30,30,15,20,20,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Villager,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26d46,0x2c4c3,0x0,0x0,0x2c254,0xa538,0xa628,0x82,0x0,0x0,0x0,0x0,0x68,0x51,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,30,10,25,25,20,20,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Lancer,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26d56,0x2c4cc,0x0,0x0,0x2c254,0xa538,0xa628,0x83,0x0,0x0,0x0,0x0,0x6a,0x0,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,40,35,0,30,25,10,25,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Gin,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26d6a,0x0,0x2b0fb,0x2c4d9,0x2c4e9,0xa538,0xa628,0x84,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xad,0xad,0xad,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Azuki,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26d79,0x0,0x2b11e,0x2c4fb,0x2c4e9,0xa538,0xa628,0x85,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xa7,0xa7,0xa7,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Hakuto,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26d88,0x0,0x2b0fb,0x2c50b,0x2c4e9,0xa538,0xa628,0x86,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xa8,0xa8,0xa8,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
